ablation,fold,metric,primary,ablation_value,degradation_positive_is_worse
no_subset_consistency,2,c_index,0.7777968656052099,0.7787294423168953,-0.0009325767116854511
no_subset_consistency,3,c_index,0.7963570860759408,0.786748866677899,0.009608219398041795
no_subset_consistency,4,c_index,0.7891350258967305,0.7851464743934772,0.003988551503253279
no_subset_consistency,5,c_index,0.7795952288048082,0.7795650477399771,3.0181064831102944e-05
no_subset_consistency,1,cancer_stratified_c_index,0.6609993255395683,0.6513601618705036,0.009639163669064699
no_subset_consistency,2,cancer_stratified_c_index,0.6454569183028335,0.6433398103303268,0.0021171079725066377
no_subset_consistency,3,cancer_stratified_c_index,0.6708661417322834,0.6498104403616215,0.021055701370661928
no_subset_consistency,4,cancer_stratified_c_index,0.6470399720312318,0.6468360330963757,0.00020393893485604053
no_subset_consistency,5,cancer_stratified_c_index,0.6380244532070012,0.6409747241213015,-0.0029502709143003347
no_subset_consistency,1,ibs,0.13460116182750068,0.13493564673124672,0.0003344849037460462
no_subset_consistency,2,ibs,0.1368185496019908,0.13391038553479132,-0.002908164067199487
no_subset_consistency,3,ibs,0.13073443425611928,0.13084541788879903,0.00011098363267975087
no_subset_consistency,4,ibs,0.1327019978723302,0.13412105701092453,0.0014190591385943307
no_subset_consistency,5,ibs,0.14002694563299148,0.1397684825614375,-0.0002584630715539715
no_subset_consistency,1,mean_time_dependent_auc,0.818744228011904,0.8173504289632062,0.0013937990486978524
no_subset_consistency,2,mean_time_dependent_auc,0.8114046339221076,0.8121053923441437,-0.0007007584220360963
no_subset_consistency,3,mean_time_dependent_auc,0.8296537344427537,0.8178785023455389,0.01177523209721476
no_subset_consistency,4,mean_time_dependent_auc,0.8212384445035954,0.8163859763480352,0.0048524681555601745
no_subset_consistency,5,mean_time_dependent_auc,0.8112915930477423,0.8127070280308399,-0.0014154349830975965
no_subset_consistency,1,mean_cancer_stratified_time_dependent_auc,0.658458654226092,0.6509382269744228,0.007520427251669126
no_subset_consistency,2,mean_cancer_stratified_time_dependent_auc,0.6740885847332052,0.6731951878857099,0.0008933968474953424
no_subset_consistency,3,mean_cancer_stratified_time_dependent_auc,0.7159149201039748,0.6850873768998915,0.03082754320408332
no_subset_consistency,4,mean_cancer_stratified_time_dependent_auc,0.686497365910098,0.6881436764445321,-0.0016463105344340923
no_subset_consistency,5,mean_cancer_stratified_time_dependent_auc,0.6550722683873094,0.6671492537805007,-0.012076985393191353
no_subset_consistency,1,integrated_ipcw_ece,0.03172344245323376,0.029995532422505643,-0.0017279100307281171
no_subset_consistency,2,integrated_ipcw_ece,0.03591116243722868,0.024704860780199473,-0.011206301657029207
no_subset_consistency,3,integrated_ipcw_ece,0.05273268332032244,0.029995597281365374,-0.022737086038957063
no_subset_consistency,4,integrated_ipcw_ece,0.033677141976982405,0.03503305159984825,0.0013559096228658446
no_subset_consistency,5,integrated_ipcw_ece,0.02682208289718735,0.030010385607637736,0.0031883027104503865
